timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1741116221339,2586,Delete Account,200,OK,Load Test 1-90,text,true,,289,571,100,100,http://localhost:6400/api/users,2586,0,0
1741116220939,2987,Delete Account,200,OK,Load Test 1-65,text,true,,289,571,100,100,http://localhost:6400/api/users,2987,0,0
1741116220860,3069,Delete Account,200,OK,Load Test 1-16,text,true,,289,571,100,100,http://localhost:6400/api/users,3069,0,0
1741116220869,3061,Delete Account,200,OK,Load Test 1-77,text,true,,289,571,100,100,http://localhost:6400/api/users,3061,0,0
1741116221342,2593,Delete Account,200,OK,Load Test 1-80,text,true,,289,571,100,100,http://localhost:6400/api/users,2593,0,0
1741116221312,2628,Delete Account,200,OK,Load Test 1-95,text,true,,289,571,100,100,http://localhost:6400/api/users,2628,0,0
1741116216183,7767,Delete Account,200,OK,Load Test 1-58,text,true,,289,571,100,100,http://localhost:6400/api/users,7767,0,0
1741116221882,2092,Login,200,OK,Load Test 1-41,text,true,,1374,249,100,100,http://localhost:6400/api/auth,2091,0,0
1741116223973,1,Login-0,200,OK,Load Test 1-41,text,true,,683,0,100,100,null,0,0,0
1741116221882,2106,Login,200,OK,Load Test 1-5,text,true,,1373,249,100,100,http://localhost:6400/api/auth,2105,0,0
1741116223987,1,Login-0,200,OK,Load Test 1-5,text,true,,682,0,100,100,null,0,0,0
1741116223882,167,Get group,200,OK,Load Test 1-26,text,true,,354,602,100,100,http://localhost:6400/api/group,166,0,0
1741116223884,169,Get group,200,OK,Load Test 1-34,text,true,,354,602,100,100,http://localhost:6400/api/group,169,0,0
1741116221882,2183,Login,200,OK,Load Test 1-46,text,true,,1373,249,100,100,http://localhost:6400/api/auth,2182,0,0
1741116224065,0,Login-0,200,OK,Load Test 1-46,text,true,,682,0,100,100,null,0,0,0
1741116221882,2189,Login,200,OK,Load Test 1-72,text,true,,1374,249,100,100,http://localhost:6400/api/auth,2189,0,0
1741116224071,0,Login-0,200,OK,Load Test 1-72,text,true,,683,0,100,100,null,0,0,0
1741116223827,250,Delete group,200,OK,Load Test 1-6,text,true,,290,607,100,100,http://localhost:6400/api/group,250,0,0
1741116223830,251,Delete group,200,OK,Load Test 1-19,text,true,,290,607,100,100,http://localhost:6400/api/group,251,0,0
1741116223833,249,Delete group,200,OK,Load Test 1-20,text,true,,290,607,100,100,http://localhost:6400/api/group,249,0,0
1741116223838,246,Delete group,200,OK,Load Test 1-4,text,true,,290,607,100,100,http://localhost:6400/api/group,246,0,0
1741116223852,243,Delete group,200,OK,Load Test 1-40,text,true,,290,607,100,100,http://localhost:6400/api/group,243,0,0
1741116223887,218,Get group,200,OK,Load Test 1-31,text,true,,354,602,100,100,http://localhost:6400/api/group,218,0,0
1741116223906,204,Get group,200,OK,Load Test 1-32,text,true,,354,602,100,100,http://localhost:6400/api/group,204,0,0
1741116223906,214,Get group,200,OK,Load Test 1-29,text,true,,354,602,100,100,http://localhost:6400/api/group,214,0,0
